Season,Week Number,Pediatric Deaths,PREVIOUS WEEK DEATHS,CURRENT WEEK DEATHS
2008-09,2008-40,0,0,0
2008-09,2008-41,0,0,0
2008-09,2008-42,0,0,0
2008-09,2008-43,0,0,0
2008-09,2008-44,0,0,0
2008-09,2008-45,0,0,0
2008-09,2008-46,0,0,0
2008-09,2008-47,0,0,0
2008-09,2008-48,0,0,0
2008-09,2008-49,0,0,0
2008-09,2008-50,0,0,0
2008-09,2008-51,0,0,0
2008-09,2008-52,0,0,0
2008-09,2008-53,0,0,0
2008-09,2009-01,2,2,0
2008-09,2009-02,0,0,0
2008-09,2009-03,1,1,0
2008-09,2009-04,2,2,0
2008-09,2009-05,3,3,0
2008-09,2009-06,9,9,0
2008-09,2009-07,10,10,0
2008-09,2009-08,9,9,0
2008-09,2009-09,5,5,0
2008-09,2009-10,7,7,0
2008-09,2009-11,4,4,0
2008-09,2009-12,6,6,0
2008-09,2009-13,6,6,0
2008-09,2009-14,1,1,0
2008-09,2009-15,2,2,0
2008-09,2009-16,1,1,0
2008-09,2009-17,1,1,0
2008-09,2009-18,1,1,0
2008-09,2009-19,2,2,0
2008-09,2009-20,2,2,0
2008-09,2009-21,4,4,0
2008-09,2009-22,3,3,0
2008-09,2009-23,9,9,0
2008-09,2009-24,8,8,0
2008-09,2009-25,6,6,0
2008-09,2009-26,6,6,0
2008-09,2009-27,4,4,0
2008-09,2009-28,4,4,0
2008-09,2009-29,6,6,0
2008-09,2009-30,1,1,0
2008-09,2009-31,2,2,0
2008-09,2009-32,3,3,0
2008-09,2009-33,1,1,0
2008-09,2009-34,6,6,0
2009-10,2009-35,6,6,0
2009-10,2009-36,7,7,0
2009-10,2009-37,16,16,0
2009-10,2009-38,16,16,0
2009-10,2009-39,20,20,0
2009-10,2009-40,24,24,0
2009-10,2009-41,22,22,0
2009-10,2009-42,35,35,0
2009-10,2009-43,29,29,0
2009-10,2009-44,32,32,0
2009-10,2009-45,17,17,0
2009-10,2009-46,12,12,0
2009-10,2009-47,8,8,0
2009-10,2009-48,7,7,0
2009-10,2009-49,4,4,0
2009-10,2009-50,4,4,0
2009-10,2009-51,1,1,0
2009-10,2009-52,3,3,0
2009-10,2010-01,0,0,0
2009-10,2010-02,2,2,0
2009-10,2010-03,3,3,0
2009-10,2010-04,1,1,0
2009-10,2010-05,3,3,0
2009-10,2010-06,0,0,0
2009-10,2010-07,2,2,0
2009-10,2010-08,4,4,0
2009-10,2010-09,4,4,0
2009-10,2010-10,0,0,0
2009-10,2010-11,1,1,0
2009-10,2010-12,1,1,0
2009-10,2010-13,0,0,0
2009-10,2010-14,0,0,0
2009-10,2010-15,0,0,0
2009-10,2010-16,0,0,0
2009-10,2010-17,1,1,0
2009-10,2010-18,1,1,0
2009-10,2010-19,0,0,0
2009-10,2010-20,0,0,0
2009-10,2010-21,0,0,0
2009-10,2010-22,0,0,0
2009-10,2010-23,2,2,0
2009-10,2010-24,0,0,0
2009-10,2010-25,0,0,0
2009-10,2010-26,0,0,0
2009-10,2010-27,0,0,0
2009-10,2010-28,0,0,0
2009-10,2010-29,0,0,0
2009-10,2010-30,0,0,0
2009-10,2010-31,0,0,0
2009-10,2010-32,0,0,0
2009-10,2010-33,0,0,0
2009-10,2010-34,0,0,0
2009-10,2010-35,0,0,0
2009-10,2010-36,0,0,0
2009-10,2010-37,0,0,0
2009-10,2010-38,0,0,0
2009-10,2010-39,0,0,0
2010-11,2010-40,0,0,0
2010-11,2010-41,0,0,0
2010-11,2010-42,0,0,0
2010-11,2010-43,1,1,0
2010-11,2010-44,0,0,0
2010-11,2010-45,0,0,0
2010-11,2010-46,1,1,0
2010-11,2010-47,1,1,0
2010-11,2010-48,2,2,0
2010-11,2010-49,1,1,0
2010-11,2010-50,0,0,0
2010-11,2010-51,1,1,0
2010-11,2010-52,7,7,0
2010-11,2011-01,2,2,0
2010-11,2011-02,4,4,0
2010-11,2011-03,10,10,0
2010-11,2011-04,15,15,0
2010-11,2011-05,12,12,0
2010-11,2011-06,9,9,0
2010-11,2011-07,10,10,0
2010-11,2011-08,11,11,0
2010-11,2011-09,9,9,0
2010-11,2011-10,10,10,0
2010-11,2011-11,4,4,0
2010-11,2011-12,5,5,0
2010-11,2011-13,0,0,0
2010-11,2011-14,1,1,0
2010-11,2011-15,3,3,0
2010-11,2011-16,2,2,0
2010-11,2011-17,2,2,0
2010-11,2011-18,0,0,0
2010-11,2011-19,0,0,0
2010-11,2011-20,0,0,0
2010-11,2011-21,0,0,0
2010-11,2011-22,0,0,0
2010-11,2011-23,0,0,0
2010-11,2011-24,0,0,0
2010-11,2011-25,0,0,0
2010-11,2011-26,0,0,0
2010-11,2011-27,0,0,0
2010-11,2011-28,0,0,0
2010-11,2011-29,0,0,0
2010-11,2011-30,0,0,0
2010-11,2011-31,0,0,0
2010-11,2011-32,0,0,0
2010-11,2011-33,1,1,0
2010-11,2011-34,0,0,0
2010-11,2011-35,0,0,0
2010-11,2011-36,0,0,0
2010-11,2011-37,0,0,0
2010-11,2011-38,0,0,0
2010-11,2011-39,0,0,0
2011-12,2011-40,0,0,0
2011-12,2011-41,0,0,0
2011-12,2011-42,0,0,0
2011-12,2011-43,1,1,0
2011-12,2011-44,0,0,0
2011-12,2011-45,0,0,0
2011-12,2011-46,0,0,0
2011-12,2011-47,0,0,0
2011-12,2011-48,0,0,0
2011-12,2011-49,0,0,0
2011-12,2011-50,0,0,0
2011-12,2011-51,0,0,0
2011-12,2011-52,0,0,0
2011-12,2012-01,0,0,0
2011-12,2012-02,0,0,0
2011-12,2012-03,2,2,0
