vaccine,geography_type,geography,fips,year_season,month,dimension_type,dimension,coverage_estimate,_95_ci,population_sample_size
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,2,Age,6 Months - 17 Years,53.0,52.5 to 53.5,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,3,Age,6 Months - 17 Years,54.0,53.4 to 54.6,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,4,Age,6 Months - 17 Years,55.0,54.4 to 55.6,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,9,Age,6 Months - 17 Years,16.2,15.9 to 16.5,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,10,Age,6 Months - 17 Years,34.5,34.1 to 34.9,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,11,Age,6 Months - 17 Years,44.3,43.8 to 44.8,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,12,Age,6 Months - 17 Years,48.6,48.1 to 49.1,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,1,Age,6 Months - 17 Years,51.1,50.6 to 51.6,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,8,Age,6 Months - 17 Years,6.1,5.9 to 6.3,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,7,Age,6 Months - 17 Years,1.6,1.5 to 1.7,137750
Seasonal Influenza,HHS Regions/National,United States,100,2023-24,5,Age,6 Months - 17 Years,55.4,54.8 to 56.0,137750
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,10,Age,6 Months - 17 Years,24.9,24.2 to 25.6,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,8,Age,6 Months - 17 Years,1.8,1.6 to 2.0,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,9,Age,6 Months - 17 Years,9.9,9.5 to 10.3,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,11,Age,6 Months - 17 Years,34.5,33.7 to 35.3,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,12,Age,6 Months - 17 Years,38.9,38.1 to 39.7,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,1,Age,6 Months - 17 Years,41.2,40.4 to 42.0,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,2,Age,6 Months - 17 Years,42.3,41.5 to 43.1,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,3,Age,6 Months - 17 Years,43.2,42.3 to 44.1,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,4,Age,6 Months - 17 Years,43.5,42.6 to 44.4,149872
Seasonal Influenza,HHS Regions/National,United States,100,2009-10,5,Age,6 Months - 17 Years,43.7,42.8 to 44.6,149872
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,12,Age,6 Months - 17 Years,53.3,52.6 to 54.0,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,1,Age,6 Months - 17 Years,55.9,55.2 to 56.6,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,2,Age,6 Months - 17 Years,57.4,56.7 to 58.1,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,3,Age,6 Months - 17 Years,58.3,57.6 to 59.0,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,4,Age,6 Months - 17 Years,59.1,58.3 to 59.9,128143
Seasonal Influenza,HHS Regions/National,United States,100,2014-15,5,Age,6 Months - 17 Years,59.3,58.5 to 60.1,128143
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,7,Age,6 Months - 17 Years,1.8,1.5 to 2.1,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,8,Age,6 Months - 17 Years,6.2,5.9 to 6.5,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,3,Age,6 Months - 17 Years,58.3,57.5 to 59.1,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,4,Age,6 Months - 17 Years,59.0,58.2 to 59.8,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,5,Age,6 Months - 17 Years,59.3,58.5 to 60.1,126846
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,7,Age,6 Months - 17 Years,1.7,1.5 to 1.9,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,8,Age,6 Months - 17 Years,6.6,6.3 to 6.9,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,9,Age,6 Months - 17 Years,16.7,16.2 to 17.2,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,10,Age,6 Months - 17 Years,35.6,35.0 to 36.2,143169
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,9,Age,6 Months - 17 Years,15.4,14.9 to 15.9,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,10,Age,6 Months - 17 Years,35.4,34.8 to 36.0,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,11,Age,6 Months - 17 Years,47.5,46.8 to 48.2,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,12,Age,6 Months - 17 Years,51.9,51.2 to 52.6,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,1,Age,6 Months - 17 Years,55.0,54.3 to 55.7,126846
Seasonal Influenza,HHS Regions/National,United States,100,2015-16,2,Age,6 Months - 17 Years,57.0,56.3 to 57.7,126846
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,12,Age,6 Months - 17 Years,51.3,50.7 to 51.9,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,11,Age,6 Months - 17 Years,46.7,46.1 to 47.3,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,5,Age,6 Months - 17 Years,59.0,58.3 to 59.7,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,1,Age,6 Months - 17 Years,54.2,53.6 to 54.8,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,2,Age,6 Months - 17 Years,56.5,55.8 to 57.2,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,3,Age,6 Months - 17 Years,57.8,57.1 to 58.5,143169
Seasonal Influenza,HHS Regions/National,United States,100,2016-17,4,Age,6 Months - 17 Years,58.6,57.9 to 59.3,143169
