year,week,hospitalization_rate,pediatric_deaths
2024,36,0.1,3.0
2024,37,0.0,0.0
2024,38,0.0,1.0
2024,39,0.1,1.0
2024,40,0.0,0.0
2024,41,0.1,0.0
2024,42,0.1,0.0
2024,43,0.4,0.0
2024,44,0.7,1.0
2024,45,0.9,0.0
2024,46,1.2,1.0
2024,47,1.6,0.0
2024,48,2.1,0.0
2024,49,3.1,0.0
2024,50,4.8,2.0
2024,51,7.7,5.0
2024,52,13.2,2.0
2025,1,23.2,5.0
2025,2,32.6,11.0
2025,3,40.8,4.0
2025,4,52.0,16.0
2025,5,64.0,10.0
2025,6,78.1,11.0
2025,7,88.9,18.0
2025,8,99.6,12.0
2025,9,107.2,16.0
2025,10,112.6,20.0
2025,11,116.5,17.0
2025,12,119.9,8.0
2025,13,121.9,9.0
2025,14,124.3,20.0
2025,15,125.6,10.0
2025,16,126.6,6.0
2025,17,127.4,12.0
2025,18,128.1,10.0
2025,19,128.0,1.0
2025,20,128.1,4.0
2025,40,0.0,0.0
2025,41,0.2,0.0
2025,42,0.3,0.0
2025,43,0.5,0.0
2025,44,0.7,0.0
2025,45,0.9,0.0
2025,46,0.7,0.0
2025,47,7.9,0.0
2025,48,2.8,0.0
2025,49,6.6,1.0
2025,50,14.3,2.0
2025,51,22.9,5.0
2025,52,31.3,1.0
2025,53,54.1,8.0
2026,1,54.9,15.0
2026,2,43.5,12.0
2026,3,26.4,8.0
2026,4,27.5,8.0
2026,5,27.8,6.0
2026,6,27.5,5.0
2026,7,21.6,8.0
2026,8,15.9,11.0
2026,9,13.6,11.0
2026,10,8.6,14.0
2026,11,7.7,8.0
2026,12,3.9,4.0
2026,13,,
2026,14,3.4,4.0
2026,15,1.3,6.0
2026,16,2.1,6.0
2026,17,3.8,3.0
